,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.896,25.868,82.2011,28.4136,85.3204,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 29, 28, 26, 27, 31, 32, 27]",20824,92.5,651872,-135.7,833536,-50.7
1,1,0.1,0.05,1.723,32.906,87.9196,30.3045,85.3802,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 29, 27, 26, 27, 31, 31, 27]",20694,92.5,647856,-134.3,828280,-49.8
2,2,0.1,0.05,1.645,37.002,89.6779,36.9427,89.4705,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 29, 27, 26, 27, 31, 31, 27]",20694,92.5,647856,-134.3,828280,-49.8
3,3,0.1,0.05,1.546,41.986,91.5981,33.2703,85.5494,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 28, 27, 26, 27, 30, 30, 27]",20499,92.6,640792,-131.7,819092,-48.1
4,4,0.1,0.05,1.539,42.152,91.704,35.2409,89.0824,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 28, 27, 26, 27, 30, 30, 27]",20499,92.6,640792,-131.7,819092,-48.1
5,5,0.1,0.05,1.548,41.796,91.2444,37.7886,89.4208,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 28, 27, 26, 27, 29, 28, 27]",20304,92.7,635808,-129.9,812512,-46.9
6,6,0.1,0.05,1.466,45.034,92.5551,39.1123,92.9936,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 32, 28, 27, 26, 27, 29, 28, 27]",20304,92.7,635808,-129.9,812512,-46.9
7,7,0.1,0.05,1.437,46.108,93.0727,27.3786,73.9252,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 28, 27]",20174,92.7,630880,-128.1,806112,-45.8
8,8,0.1,0.05,1.483,44.206,92.1735,30.9216,87.908,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 28, 27]",20174,92.7,630880,-128.1,806112,-45.8
9,9,0.1,0.05,1.467,44.928,92.6151,36.4152,89.2715,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 27, 27]",20109,92.7,629928,-127.8,804812,-45.5
10,10,0.1,0.05,1.432,47.01,92.9807,45.3125,93.0633,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 26, 27]",20044,92.8,628992,-127.5,803536,-45.3
11,11,0.1,0.05,1.388,49.002,93.4323,34.0068,83.5191,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 26, 27]",20044,92.8,628992,-127.5,803536,-45.3
12,12,0.1,0.05,1.372,50.168,93.3564,50.2189,94.3372,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 26, 27]",20044,92.8,628992,-127.5,803536,-45.3
13,13,0.1,0.05,1.389,48.932,93.3164,49.99,93.7798,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 26, 27]",20044,92.8,628992,-127.5,803536,-45.3
14,14,0.1,0.05,1.353,51.076,93.5762,35.7285,87.1119,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 28, 26, 27]",20044,92.8,628992,-127.5,803536,-45.3
15,15,0.1,0.05,1.472,45.256,92.0057,38.7739,92.0581,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 27, 26, 27]",19979,92.8,625992,-126.4,799676,-44.6
16,16,0.1,0.05,1.46,45.934,92.5771,35.3901,86.684,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 28, 27, 26, 27, 27, 26, 27]",19979,92.8,625992,-126.4,799676,-44.6
